,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
43,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2017,929209660507.615,Aggregates,Aggregates,Aggregates,,
44,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2016,822183254496.804,Aggregates,Aggregates,Aggregates,,
45,V2,Early-demographic dividend,Exports of goods and services (current US$),2024,3978583852956.12,Aggregates,Aggregates,Aggregates,,
46,V2,Early-demographic dividend,Exports of goods and services (current US$),2023,3863383843212.38,Aggregates,Aggregates,Aggregates,,
47,V2,Early-demographic dividend,Exports of goods and services (current US$),2022,3986345966802.91,Aggregates,Aggregates,Aggregates,,
48,V2,Early-demographic dividend,Exports of goods and services (current US$),2021,3254070704862.9,Aggregates,Aggregates,Aggregates,,
49,V2,Early-demographic dividend,Exports of goods and services (current US$),2020,2425865761878.0,Aggregates,Aggregates,Aggregates,,
50,V2,Early-demographic dividend,Exports of goods and services (current US$),2019,2916787616108.96,Aggregates,Aggregates,Aggregates,,
51,V2,Early-demographic dividend,Exports of goods and services (current US$),2018,2989960297412.38,Aggregates,Aggregates,Aggregates,,
52,V2,Early-demographic dividend,Exports of goods and services (current US$),2017,2690660794123.95,Aggregates,Aggregates,Aggregates,,
53,V2,Early-demographic dividend,Exports of goods and services (current US$),2016,2382700063974.47,Aggregates,Aggregates,Aggregates,,
54,Z4,East Asia & Pacific,Exports of goods and services (current US$),2024,9913974194654.66,Aggregates,Aggregates,Aggregates,,
55,Z4,East Asia & Pacific,Exports of goods and services (current US$),2023,9309336051781.3,Aggregates,Aggregates,Aggregates,,
56,Z4,East Asia & Pacific,Exports of goods and services (current US$),2022,9698595556200.46,Aggregates,Aggregates,Aggregates,,
57,Z4,East Asia & Pacific,Exports of goods and services (current US$),2021,9051084565466.21,Aggregates,Aggregates,Aggregates,,
58,Z4,East Asia & Pacific,Exports of goods and services (current US$),2020,7229635520462.29,Aggregates,Aggregates,Aggregates,,
59,Z4,East Asia & Pacific,Exports of goods and services (current US$),2019,7542519927499.17,Aggregates,Aggregates,Aggregates,,
60,Z4,East Asia & Pacific,Exports of goods and services (current US$),2018,7706572168649.11,Aggregates,Aggregates,Aggregates,,
61,Z4,East Asia & Pacific,Exports of goods and services (current US$),2017,7095510535773.31,Aggregates,Aggregates,Aggregates,,
62,Z4,East Asia & Pacific,Exports of goods and services (current US$),2016,6412887123971.02,Aggregates,Aggregates,Aggregates,,
63,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2024,5384630257903.61,Aggregates,Aggregates,Aggregates,,
64,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2023,4986138164897.3,Aggregates,Aggregates,Aggregates,,
65,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2022,5273235667330.35,Aggregates,Aggregates,Aggregates,,
66,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2021,4900344679788.04,Aggregates,Aggregates,Aggregates,,
67,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2020,3830189793755.46,Aggregates,Aggregates,Aggregates,,
68,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2019,3859165048260.15,Aggregates,Aggregates,Aggregates,,
69,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2018,3881217853154.79,Aggregates,Aggregates,Aggregates,,
70,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2017,3543229128563.56,Aggregates,Aggregates,Aggregates,,
71,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2016,3184875058854.76,Aggregates,Aggregates,Aggregates,,
72,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2024,5377618134840.54,Aggregates,Aggregates,Aggregates,,
73,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2023,4979601974468.68,Aggregates,Aggregates,Aggregates,,
74,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2022,5266296571900.22,Aggregates,Aggregates,Aggregates,,
75,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2021,4893853806581.97,Aggregates,Aggregates,Aggregates,,
76,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2020,3825177284961.31,Aggregates,Aggregates,Aggregates,,
77,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2019,3854183225485.83,Aggregates,Aggregates,Aggregates,,
78,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2018,3876217916265.48,Aggregates,Aggregates,Aggregates,,
79,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2017,3538684711806.51,Aggregates,Aggregates,Aggregates,,
80,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2016,3180829502059.83,Aggregates,Aggregates,Aggregates,,
81,XC,Euro area,Exports of goods and services (current US$),2024,8105847354423.04,Aggregates,Aggregates,Aggregates,,
82,XC,Euro area,Exports of goods and services (current US$),2023,7978037743949.34,Aggregates,Aggregates,Aggregates,,
83,XC,Euro area,Exports of goods and services (current US$),2022,7815450273992.55,Aggregates,Aggregates,Aggregates,,
84,XC,Euro area,Exports of goods and services (current US$),2021,7245619478850.78,Aggregates,Aggregates,Aggregates,,
85,XC,Euro area,Exports of goods and services (current US$),2020,5926775269616.62,Aggregates,Aggregates,Aggregates,,
86,XC,Euro area,Exports of goods and services (current US$),2019,6443247547680.73,Aggregates,Aggregates,Aggregates,,
87,XC,Euro area,Exports of goods and services (current US$),2018,6534860650692.68,Aggregates,Aggregates,Aggregates,,
88,XC,Euro area,Exports of goods and services (current US$),2017,5948409013130.16,Aggregates,Aggregates,Aggregates,,
89,XC,Euro area,Exports of goods and services (current US$),2016,5418277022825.19,Aggregates,Aggregates,Aggregates,,
90,Z7,Europe & Central Asia,Exports of goods and services (current US$),2024,13129045905189.2,Aggregates,Aggregates,Aggregates,,
91,Z7,Europe & Central Asia,Exports of goods and services (current US$),2023,12859649011799.2,Aggregates,Aggregates,Aggregates,,
92,Z7,Europe & Central Asia,Exports of goods and services (current US$),2022,12843930534714.4,Aggregates,Aggregates,Aggregates,,
93,Z7,Europe & Central Asia,Exports of goods and services (current US$),2021,11610809293390.2,Aggregates,Aggregates,Aggregates,,
94,Z7,Europe & Central Asia,Exports of goods and services (current US$),2020,9358949545211.11,Aggregates,Aggregates,Aggregates,,
95,Z7,Europe & Central Asia,Exports of goods and services (current US$),2019,10274649431650.7,Aggregates,Aggregates,Aggregates,,
96,Z7,Europe & Central Asia,Exports of goods and services (current US$),2018,10410851721147.1,Aggregates,Aggregates,Aggregates,,
97,Z7,Europe & Central Asia,Exports of goods and services (current US$),2017,9404907313966.76,Aggregates,Aggregates,Aggregates,,
98,Z7,Europe & Central Asia,Exports of goods and services (current US$),2016,8554872091264.83,Aggregates,Aggregates,Aggregates,,
99,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2024,781490820323.544,Aggregates,Aggregates,Aggregates,,
100,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2023,752601713213.174,Aggregates,Aggregates,Aggregates,,
101,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2022,742638652620.425,Aggregates,Aggregates,Aggregates,,
102,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2021,629555294382.983,Aggregates,Aggregates,Aggregates,,
103,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2020,461519815826.7,Aggregates,Aggregates,Aggregates,,
104,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2019,554004317002.752,Aggregates,Aggregates,Aggregates,,
105,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2018,543346898022.236,Aggregates,Aggregates,Aggregates,,
106,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2017,477686752813.7,Aggregates,Aggregates,Aggregates,,
107,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2016,415277683200.895,Aggregates,Aggregates,Aggregates,,
108,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2024,1983503498064.12,Aggregates,Aggregates,Aggregates,,
109,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2023,1933652060640.75,Aggregates,Aggregates,Aggregates,,
110,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2022,2045818126647.07,Aggregates,Aggregates,Aggregates,,
111,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2021,1773991864063.62,Aggregates,Aggregates,Aggregates,,
112,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2020,1316682291782.93,Aggregates,Aggregates,Aggregates,,
113,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2019,1528461384558.82,Aggregates,Aggregates,Aggregates,,
114,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2018,1539162854497.37,Aggregates,Aggregates,Aggregates,,
115,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2017,1317613766903.86,Aggregates,Aggregates,Aggregates,,
116,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2016,1119150391061.58,Aggregates,Aggregates,Aggregates,,
117,EU,European Union,Exports of goods and services (current US$),2024,9821037472659.41,Aggregates,Aggregates,Aggregates,,
118,EU,European Union,Exports of goods and services (current US$),2023,9657456788388.33,Aggregates,Aggregates,Aggregates,,
119,EU,European Union,Exports of goods and services (current US$),2022,9413905146401.02,Aggregates,Aggregates,Aggregates,,
120,EU,European Union,Exports of goods and services (current US$),2021,8698132212489.88,Aggregates,Aggregates,Aggregates,,
121,EU,European Union,Exports of goods and services (current US$),2020,7107614522357.86,Aggregates,Aggregates,Aggregates,,
122,EU,European Union,Exports of goods and services (current US$),2019,7684155677487.96,Aggregates,Aggregates,Aggregates,,
123,EU,European Union,Exports of goods and services (current US$),2018,7769970730709.28,Aggregates,Aggregates,Aggregates,,
124,EU,European Union,Exports of goods and services (current US$),2017,7063724441817.75,Aggregates,Aggregates,Aggregates,,
125,EU,European Union,Exports of goods and services (current US$),2016,6421420485288.86,Aggregates,Aggregates,Aggregates,,
126,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2024,461050974935.558,Aggregates,Aggregates,Aggregates,,
127,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2023,446556822628.333,Aggregates,Aggregates,Aggregates,,
128,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2022,493607079541.02,Aggregates,Aggregates,Aggregates,,
129,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2021,412339679197.262,Aggregates,Aggregates,Aggregates,,
130,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2020,278002489876.1,Aggregates,Aggregates,Aggregates,,
131,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2019,420008226857.817,Aggregates,Aggregates,Aggregates,,
132,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2018,441129792524.321,Aggregates,Aggregates,Aggregates,,
133,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2017,357931875145.801,Aggregates,Aggregates,Aggregates,,
134,F1,Fragile and conflict affected situations,Exports of goods and services (current US$),2016,284731219659.424,Aggregates,Aggregates,Aggregates,,
135,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2024,264290456342.017,Aggregates,Aggregates,Aggregates,,
136,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2023,242074466496.88,Aggregates,Aggregates,Aggregates,,
137,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2022,242781496166.828,Aggregates,Aggregates,Aggregates,,
138,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2021,210829245213.071,Aggregates,Aggregates,Aggregates,,
139,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2020,166654395808.388,Aggregates,Aggregates,Aggregates,,
140,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2019,184765814725.783,Aggregates,Aggregates,Aggregates,,
141,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2018,183262365881.571,Aggregates,Aggregates,Aggregates,,
142,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2017,163158216343.986,Aggregates,Aggregates,Aggregates,,
143,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2016,144853910656.629,Aggregates,Aggregates,Aggregates,,
144,XD,High income,Exports of goods and services (current US$),2024,22616469502333.4,Aggregates,Aggregates,Aggregates,,
145,XD,High income,Exports of goods and services (current US$),2023,21985890682395.5,Aggregates,Aggregates,Aggregates,,
146,XD,High income,Exports of goods and services (current US$),2022,22133308807361.5,Aggregates,Aggregates,Aggregates,,
147,XD,High income,Exports of goods and services (current US$),2021,19726640013050.7,Aggregates,Aggregates,Aggregates,,
148,XD,High income,Exports of goods and services (current US$),2020,16007137450502.0,Aggregates,Aggregates,Aggregates,,
149,XD,High income,Exports of goods and services (current US$),2019,17817059399867.1,Aggregates,Aggregates,Aggregates,,
150,XD,High income,Exports of goods and services (current US$),2018,18139539667235.4,Aggregates,Aggregates,Aggregates,,
151,XD,High income,Exports of goods and services (current US$),2017,16584280819890.4,Aggregates,Aggregates,Aggregates,,
152,XD,High income,Exports of goods and services (current US$),2016,15164369755511.7,Aggregates,Aggregates,Aggregates,,
153,XF,IBRD only,Exports of goods and services (current US$),2024,10458288207060.2,Aggregates,Aggregates,Aggregates,,
154,XF,IBRD only,Exports of goods and services (current US$),2023,9912032916765.25,Aggregates,Aggregates,Aggregates,,
155,XF,IBRD only,Exports of goods and services (current US$),2022,10349223785133.6,Aggregates,Aggregates,Aggregates,,
156,XF,IBRD only,Exports of goods and services (current US$),2021,9185176554354.0,Aggregates,Aggregates,Aggregates,,
157,XF,IBRD only,Exports of goods and services (current US$),2020,7020143071856.36,Aggregates,Aggregates,Aggregates,,
158,XF,IBRD only,Exports of goods and services (current US$),2019,7626607344738.34,Aggregates,Aggregates,Aggregates,,
159,XF,IBRD only,Exports of goods and services (current US$),2018,7752119239394.52,Aggregates,Aggregates,Aggregates,,
160,XF,IBRD only,Exports of goods and services (current US$),2017,6961139594599.42,Aggregates,Aggregates,Aggregates,,
161,XF,IBRD only,Exports of goods and services (current US$),2016,6161115498480.55,Aggregates,Aggregates,Aggregates,,
162,ZT,IDA & IBRD total,Exports of goods and services (current US$),2024,11093804905727.1,Aggregates,Aggregates,Aggregates,,
163,ZT,IDA & IBRD total,Exports of goods and services (current US$),2023,10509074338322.0,Aggregates,Aggregates,Aggregates,,
164,ZT,IDA & IBRD total,Exports of goods and services (current US$),2022,10956081666117.7,Aggregates,Aggregates,Aggregates,,
165,ZT,IDA & IBRD total,Exports of goods and services (current US$),2021,9705868713321.06,Aggregates,Aggregates,Aggregates,,
166,ZT,IDA & IBRD total,Exports of goods and services (current US$),2020,7437476020036.56,Aggregates,Aggregates,Aggregates,,
167,ZT,IDA & IBRD total,Exports of goods and services (current US$),2019,8094711181725.34,Aggregates,Aggregates,Aggregates,,
168,ZT,IDA & IBRD total,Exports of goods and services (current US$),2018,8210824637807.29,Aggregates,Aggregates,Aggregates,,
169,ZT,IDA & IBRD total,Exports of goods and services (current US$),2017,7380744988793.59,Aggregates,Aggregates,Aggregates,,
170,ZT,IDA & IBRD total,Exports of goods and services (current US$),2016,6531422579887.18,Aggregates,Aggregates,Aggregates,,
171,XH,IDA blend,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
172,XH,IDA blend,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
173,XH,IDA blend,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
174,XH,IDA blend,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
175,XH,IDA blend,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
176,XH,IDA blend,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
177,XH,IDA blend,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
178,XH,IDA blend,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
179,XH,IDA blend,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
180,XI,IDA only,Exports of goods and services (current US$),2024,390592253032.661,Aggregates,Aggregates,Aggregates,,
181,XI,IDA only,Exports of goods and services (current US$),2023,370582790049.219,Aggregates,Aggregates,Aggregates,,
182,XI,IDA only,Exports of goods and services (current US$),2022,368405891542.671,Aggregates,Aggregates,Aggregates,,
183,XI,IDA only,Exports of goods and services (current US$),2021,315702897977.31,Aggregates,Aggregates,Aggregates,,
184,XI,IDA only,Exports of goods and services (current US$),2020,256662188144.33,Aggregates,Aggregates,Aggregates,,
185,XI,IDA only,Exports of goods and services (current US$),2019,289725949736.899,Aggregates,Aggregates,Aggregates,,
186,XI,IDA only,Exports of goods and services (current US$),2018,278595742481.069,Aggregates,Aggregates,Aggregates,,
187,XI,IDA only,Exports of goods and services (current US$),2017,253975579434.407,Aggregates,Aggregates,Aggregates,,
188,XI,IDA only,Exports of goods and services (current US$),2016,228137416640.164,Aggregates,Aggregates,Aggregates,,
189,XG,IDA total,Exports of goods and services (current US$),2024,670943996185.579,Aggregates,Aggregates,Aggregates,,
190,XG,IDA total,Exports of goods and services (current US$),2023,628533892214.108,Aggregates,Aggregates,Aggregates,,
191,XG,IDA total,Exports of goods and services (current US$),2022,633443520498.868,Aggregates,Aggregates,Aggregates,,
192,XG,IDA total,Exports of goods and services (current US$),2021,537660744865.583,Aggregates,Aggregates,Aggregates,,
193,XG,IDA total,Exports of goods and services (current US$),2020,437223434350.949,Aggregates,Aggregates,Aggregates,,
194,XG,IDA total,Exports of goods and services (current US$),2019,495097204366.909,Aggregates,Aggregates,Aggregates,,
195,XG,IDA total,Exports of goods and services (current US$),2018,479886164174.516,Aggregates,Aggregates,Aggregates,,
196,XG,IDA total,Exports of goods and services (current US$),2017,441443359341.512,Aggregates,Aggregates,Aggregates,,
197,XG,IDA total,Exports of goods and services (current US$),2016,389237235378.336,Aggregates,Aggregates,Aggregates,,
198,V3,Late-demographic dividend,Exports of goods and services (current US$),2024,9144844353436.73,Aggregates,Aggregates,Aggregates,,
199,V3,Late-demographic dividend,Exports of goods and services (current US$),2023,8547536489007.84,Aggregates,Aggregates,Aggregates,,
200,V3,Late-demographic dividend,Exports of goods and services (current US$),2022,8893665927407.78,Aggregates,Aggregates,Aggregates,,
201,V3,Late-demographic dividend,Exports of goods and services (current US$),2021,7992409897802.51,Aggregates,Aggregates,Aggregates,,
202,V3,Late-demographic dividend,Exports of goods and services (current US$),2020,6257391192361.0,Aggregates,Aggregates,Aggregates,,
203,V3,Late-demographic dividend,Exports of goods and services (current US$),2019,6504222891390.62,Aggregates,Aggregates,Aggregates,,
204,V3,Late-demographic dividend,Exports of goods and services (current US$),2018,6546306368441.98,Aggregates,Aggregates,Aggregates,,
205,V3,Late-demographic dividend,Exports of goods and services (current US$),2017,5889448009301.06,Aggregates,Aggregates,Aggregates,,
206,V3,Late-demographic dividend,Exports of goods and services (current US$),2016,5247671479052.96,Aggregates,Aggregates,Aggregates,,
207,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2024,1824161655828.58,Aggregates,Aggregates,Aggregates,,
208,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2023,1742663641102.53,Aggregates,Aggregates,Aggregates,,
209,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2022,1727414106815.76,Aggregates,Aggregates,Aggregates,,
210,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2021,1463610591816.56,Aggregates,Aggregates,Aggregates,,
211,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2020,1156995631247.31,Aggregates,Aggregates,Aggregates,,
212,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2019,1353793051863.96,Aggregates,Aggregates,Aggregates,,
213,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2018,1369119969325.17,Aggregates,Aggregates,Aggregates,,
214,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2017,1278929738608.64,Aggregates,Aggregates,Aggregates,,
215,ZJ,Latin America & Caribbean,Exports of goods and services (current US$),2016,1163052425492.97,Aggregates,Aggregates,Aggregates,,
216,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2024,1487828320365.08,Aggregates,Aggregates,Aggregates,,
217,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2023,1424486302448.31,Aggregates,Aggregates,Aggregates,,
218,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2022,1418816892323.13,Aggregates,Aggregates,Aggregates,,
219,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2021,1193967454315.76,Aggregates,Aggregates,Aggregates,,
220,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2020,932679896795.815,Aggregates,Aggregates,Aggregates,,
221,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2019,1080864209692.64,Aggregates,Aggregates,Aggregates,,
222,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2018,1084678136852.38,Aggregates,Aggregates,Aggregates,,
223,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2017,999855918952.632,Aggregates,Aggregates,Aggregates,,
224,XJ,Latin America & Caribbean (excluding high income),Exports of goods and services (current US$),2016,902014148611.774,Aggregates,Aggregates,Aggregates,,
225,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2024,1728249656588.81,Aggregates,Aggregates,Aggregates,,
226,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2023,1650125781019.47,Aggregates,Aggregates,Aggregates,,
227,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2022,1640064087751.38,Aggregates,Aggregates,Aggregates,,
228,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2021,1383296631789.34,Aggregates,Aggregates,Aggregates,,
229,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2020,1078857193373.36,Aggregates,Aggregates,Aggregates,,
230,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2019,1266138790090.66,Aggregates,Aggregates,Aggregates,,
231,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2018,1283260172105.18,Aggregates,Aggregates,Aggregates,,
232,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2017,1183008516030.69,Aggregates,Aggregates,Aggregates,,
233,T2,Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (current US$),2016,1067443626595.04,Aggregates,Aggregates,Aggregates,,
234,XL,Least developed countries: UN classification,Exports of goods and services (current US$),2024,322195371494.164,Aggregates,Aggregates,Aggregates,,
